key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.launchpad.error_image_url,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_image_url,stage-6
extend.launchpad.error_locked_max,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_locked_max,stage-6
extend.launchpad.error_locked_min,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_locked_min,stage-6
extend.launchpad.error_locked_sum_by_sold,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_locked_sum_by_sold,stage-6
extend.launchpad.error_name_length,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_name_length,stage-6
extend.launchpad.error_name_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_name_required,stage-6
extend.launchpad.error_quote_mint_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_quote_mint_required,stage-6
extend.launchpad.error_raised_min,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_raised_min,stage-6
extend.launchpad.error_raised_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_raised_required,stage-6
extend.launchpad.error_sold_max,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_sold_max,stage-6
extend.launchpad.error_sold_min,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_sold_min,stage-6
extend.launchpad.error_sold_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_sold_required,stage-6
extend.launchpad.error_supply_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_supply_required,stage-6
extend.launchpad.error_telegram_invalid,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_telegram_invalid,stage-6
extend.launchpad.error_ticker_length,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_ticker_length,stage-6
extend.launchpad.error_ticker_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_ticker_required,stage-6
extend.launchpad.error_twitter_invalid,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_twitter_invalid,stage-6
extend.launchpad.error_vesting_cliff_min,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_vesting_cliff_min,stage-6
extend.launchpad.error_vesting_cliff_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_vesting_cliff_required,stage-6
extend.launchpad.error_vesting_duration_min,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_vesting_duration_min,stage-6
extend.launchpad.error_vesting_duration_required,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_vesting_duration_required,stage-6
extend.launchpad.error_website_invalid,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.error_website_invalid,stage-6
extend.launchpad.image_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.image_explained,stage-6
extend.launchpad.image_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.image_label,stage-6
extend.launchpad.image_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.image_placeholder,stage-6
extend.launchpad.image_reupload_action,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.image_reupload_action,stage-6
extend.launchpad.image_upload_action,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.image_upload_action,stage-6
extend.launchpad.locked_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.locked_explained,stage-6
extend.launchpad.locked_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.locked_label,stage-6
extend.launchpad.locked_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.locked_placeholder,stage-6
extend.launchpad.magic_launch,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.magic_launch,stage-6
extend.launchpad.magic_launch_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.magic_launch_explained,stage-6
extend.launchpad.magic_launch_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.magic_launch_placeholder,stage-6
extend.launchpad.magic_launch_submit,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.magic_launch_submit,stage-6
extend.launchpad.mint_transaction_completed,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.mint_transaction_completed,stage-6
extend.launchpad.mint_transaction_error,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.mint_transaction_error,stage-6
extend.launchpad.mint_transaction_submitted,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.mint_transaction_submitted,stage-6
extend.launchpad.mint_transaction_uncompleted,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.mint_transaction_uncompleted,stage-6
extend.launchpad.name_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.name_label,stage-6
extend.launchpad.name_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.name_placeholder,stage-6
extend.launchpad.quote_mint_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.quote_mint_label,stage-6
extend.launchpad.quote_mint_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.quote_mint_placeholder,stage-6
extend.launchpad.raised_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.raised_explained,stage-6
extend.launchpad.raised_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.raised_label,stage-6
extend.launchpad.raised_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.raised_placeholder,stage-6
extend.launchpad.remaining_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.remaining_explained,stage-6
extend.launchpad.remaining_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.remaining_label,stage-6
extend.launchpad.remaining_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.remaining_placeholder,stage-6
extend.launchpad.share_fee_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.share_fee_explained,stage-6
extend.launchpad.share_fee_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.share_fee_label,stage-6
extend.launchpad.socials_options,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.socials_options,stage-6
extend.launchpad.sold_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.sold_explained,stage-6
extend.launchpad.sold_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.sold_label,stage-6
extend.launchpad.sold_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.sold_placeholder,stage-6
extend.launchpad.submit,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.submit,stage-6
extend.launchpad.supply_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.supply_label,stage-6
extend.launchpad.supply_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.supply_placeholder,stage-6
extend.launchpad.telegram_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.telegram_label,stage-6
extend.launchpad.telegram_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.telegram_placeholder,stage-6
extend.launchpad.ticker_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.ticker_label,stage-6
extend.launchpad.ticker_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.ticker_placeholder,stage-6
extend.launchpad.title,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.title,stage-6
extend.launchpad.twitter_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.twitter_label,stage-6
extend.launchpad.twitter_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.twitter_placeholder,stage-6
extend.launchpad.vesting_cliff_d,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_d,stage-6
extend.launchpad.vesting_cliff_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_explained,stage-6
extend.launchpad.vesting_cliff_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_label,stage-6
extend.launchpad.vesting_cliff_m,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_m,stage-6
extend.launchpad.vesting_cliff_w,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_w,stage-6
extend.launchpad.vesting_cliff_y,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_cliff_y,stage-6
